Ano;Tipo de Emenda;Autor da emenda;Número da emenda;Localidade do gasto (Regionalização);Função;Subfunção;Programa Orçamentário;Ação Orçamentária;Plano Orçamentário;Código da emenda;Valor empenhado;Valor liquidado;Valor pago;Valor Restos a Pagar Inscritos;Valor Restos a Pagar Cancelados;Valor Restos a Pagar Pagos
2024;Emenda Individual - Transferências com Finalidade Definida;DAMARES ALVES;1;DISTRITO FEDERAL (UF);Educação;Ensino profissional;5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,02443E+11;1.000.000,00;0;0;2.000.000,00;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;HAROLDO CATHEDRAL;6;RORAIMA (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02241E+11;1.000.000,00;0;0;1.000.000,00;0;1.000.000,00
2024;Emenda Individual - Transferências com Finalidade Definida;VICENTINHO JUNIOR;19;TOCANTINS (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS;APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS;2,02438E+11;1.000.000,00;0;0;2.000.000,00;0;0
2024;Emenda Individual - Transferências com Finalidade Definida;RANDOLFE RODRIGUES;7;AMAPÁ (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02429E+11;1.000.000,00;0;0;1.331.041,38;0;668.958,62
2024;Emenda de Bancada;BANCADA DO PIAUI;2;PIAUÍ (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02471E+11;1.000.000,00;0;0;1.770.542,32;0;229.457,68
2020;Emenda Individual - Transferências com Finalidade Definida;GURGEL;8;RIO DE JANEIRO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,0204E+11;1.000.000,00;1.000.000,00;1.000.000,00;0;0;0
2024;Emenda Individual - Transferências com Finalidade Definida;PAULO GUEDES;1;MINAS GERAIS (UF);Educação;Ensino profissional;5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02442E+11;1.000.000,00;30.799,20;29.773,38;1.860.172,33;0;80.280,91
2022;Emenda Individual - Transferências com Finalidade Definida;PAULAO;13;ALAGOAS (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,0223E+11;1.000.000,00;146.603,94;45.561,94;954.610,18;0;954.265,94
2024;Emenda Individual - Transferências com Finalidade Definida;PEDRO LUCAS FERNANDES;3;MARANHÃO (UF);Educação;Ensino profissional;5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02441E+11;1.000.000,00;0;0;1.517.678,52;0;482.321,48
2021;Emenda Individual - Transferências com Finalidade Definida;WELLINGTON FAGUNDES;12;MATO GROSSO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02138E+11;1.000.000,00;1.000.000,00;1.000.000,00;0;0;0
