Ano;Tipo de Emenda;Autor da emenda;Número da emenda;Localidade do gasto (Regionalização);Função;Subfunção;Programa Orçamentário;Ação Orçamentária;Plano Orçamentário;Código da emenda;Valor empenhado;Valor liquidado;Valor pago;Valor Restos a Pagar Inscritos;Valor Restos a Pagar Cancelados;Valor Restos a Pagar Pagos
2020;Emenda de Comissão;COMISSAO DE EDUCACAO - CE;4;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;0487 - CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR;CONCESSAO DE BOLSAS DE ESTUDO NO PAIS;2,0205E+11;1.000,00;0;0;1.000,00;1.000,00;0
2020;Emenda de Comissão;COMISSAO DE EDUCACAO - CE;3;Nacional;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;00O0 - CONCESSAO DE BOLSAS DE APOIO A EDUCACAO BASICA;EDUCACAO BASICA PRESENCIAL;2,0205E+11;1.000,00;0;0;1.000,00;1.000,00;0
2020;Emenda Individual - Transferências com Finalidade Definida;MAILZA GOMES;5;ACRE (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA;FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E AO DESENVOLVIMENTO DE POLITICAS, REGULACAO E SUPERVISAO DA EDUCACAO PROFISSIONAL E TECNOLOGICA;2,02039E+11;8.286,00;0;0;8.286,00;0;8.286,00
2020;Emenda Individual - Transferências com Finalidade Definida;DENIS BEZERRA;19;CEARÁ (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,0204E+11;15.105,39;0;0;15.105,39;0;15.105,39
2021;Emenda Individual - Transferências com Finalidade Definida;MARILIA ARRAES;10;PERNAMBUCO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,0214E+11;18.283,34;18.283,34;17.383,34;1.800,00;0;900
2022;Emenda Individual - Transferências com Finalidade Definida;CARMEN ZANOTTO;4;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02229E+11;30.000,00;28.500,00;21.500,00;10.000,00;0;7.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;LUIZIANNE LINS;6;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02237E+11;30.000,00;30.000,00;28.000,00;2.000,00;0;2.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;BETO ROSADO;12;RIO GRANDE DO NORTE (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02031E+11;30.170,70;11.199,66;11.199,66;20.843,28;0;17.098,80
2020;Emenda Individual - Transferências com Finalidade Definida;LUCIANO DUCCI;8;PARANÁ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02037E+11;33.493,77;33.493,77;33.493,77;0;0;0
2023;Emenda Individual - Transferências com Finalidade Definida;HUMBERTO COSTA;13;PERNAMBUCO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02329E+11;38.997,44;9.995,44;9.871,44;28.451,10;0;674,9
2022;Emenda Individual - Transferências com Finalidade Definida;LEANDRE;7;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02237E+11;39.000,00;37.350,00;31.350,00;9.300,00;0;6.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;ALCEU MOREIRA;6;RIO GRANDE DO SUL (UF);Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02229E+11;47.860,44;0;0;95.720,88;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;WALTER ALVES;7;RIO GRANDE DO NORTE (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02238E+11;49.912,42;912,42;912,42;49.000,00;0;49.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;DULCE MIRANDA;3;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02231E+11;50.000,00;49.375,00;37.875,00;12.125,00;0;12.125,00
2022;Emenda Individual - Transferências com Finalidade Definida;TEREZA NELMA;8;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02242E+11;50.000,00;50.000,00;39.140,00;10.860,00;0;10.860,00
2023;Emenda Individual - Transferências com Finalidade Definida;PROFESSORA ROSA NEIDE;7;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02341E+11;50.000,00;0;0;0;0;50.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;PROFESSORA ROSA NEIDE;5;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02241E+11;50.000,00;50.000,00;50.000,00;0;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;ERIKA KOKAY;3;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02228E+11;50.000,00;45.000,00;43.000,00;7.000,00;0;7.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;MARRECA FILHO;5;TUFILÂNDIA - MA;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02041E+11;51.254,66;0;0;102.509,32;0;0
2020;Emenda de Bancada;Sem informação;S/I;CEARÁ (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;DOTACOES CLASSIFICADAS COM RP 2, INCLUIDAS OU ACRESCIDAS POR EMENDAS DE BANCADA ESTADUAL DO ESTADO DO CEARA, EM OBSERVANCIA AO DISPOSTO NO INCISO I DO ? 7. DO ART. 4. DA LOA-2023;S/I;51.659,00;0;0;51.659,00;0;51.659,00
2024;Emenda Individual - Transferências com Finalidade Definida;EVAIR VIEIRA DE MELO;9;CASTELO - ES;Educação;Educação básica;5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02431E+11;54.922,39;0;0;109.844,78;0;0
2021;Emenda Individual - Transferências com Finalidade Definida;VIVI REIS;17;BELÉM - PA;Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02142E+11;60.000,00;0;0;120.000,00;0;60.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;EFRAIM FILHO;2;MARCAÇÃO - PB;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02224E+11;60.088,24;0;0;120.176,48;0;0
2023;Emenda Individual - Transferências com Finalidade Definida;HUMBERTO COSTA;11;PERNAMBUCO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA;FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E AO DESENVOLVIMENTO DE POLITICAS, REGULACAO E SUPERVISAO DA EDUCACAO PROFISSIONAL E TECNOLOGICA;2,02329E+11;60.672,90;23.000,00;0;450,9;0,62;60.221,38
2022;Emenda Individual - Transferências com Finalidade Definida;DANIEL TRZECIAK;7;Sul;Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;15R4 - APOIO A EXPANSAO, CONSOLIDACAO, REESTRUTURACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;APOIO A CONSOLIDACAO E REESTRUTURACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,0224E+11;75.000,00;75.000,00;75.000,00;0;0;0
2024;Emenda Individual - Transferências com Finalidade Definida;ERIKA KOKAY;5;DISTRITO FEDERAL (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02428E+11;80.000,00;0;0;160.000,00;0;0
2023;Emenda Individual - Transferências com Finalidade Definida;FLAVIA ARRUDA;12;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,0234E+11;81.460,00;0;0;0;0;81.460,00
2022;Emenda Individual - Transferências com Finalidade Definida;JORGE SOLLA;4;Nordeste;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02237E+11;81.925,89;0;0;81.925,89;20.115,00;61.810,89
2020;Emenda Individual - Transferências com Finalidade Definida;EDUARDO BISMARCK;2;MADALENA - CE;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,0204E+11;83.457,38;0;0;166.914,76;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;PAULO GANIME;4;RIO DE JANEIRO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02041E+11;84.435,98;61.736,00;53.000,00;31.435,98;0;31.435,98
2020;Emenda Individual - Transferências com Finalidade Definida;JULIO DELGADO;7;ALFENAS - MG;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02037E+11;87.000,00;87.000,00;87.000,00;0;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;SOSTENES CAVALCANTE;2;RIO DE JANEIRO (UF);Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RI - FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA;FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA - DESPESAS DIVERSAS;2,02038E+11;87.208,20;87.208,20;87.208,20;0;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;NORMA AYUB;11;JOÃO NEIVA - ES;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02239E+11;88.260,99;0;0;176.521,98;0;0
2024;Emenda Individual - Transferências com Finalidade Definida;PATRUS ANANIAS;13;MINAS GERAIS (UF);Educação;Ensino profissional;5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02414E+11;89.800,00;0;0;89.800,00;0;89.800,00
2020;Emenda Individual - Transferências com Finalidade Definida;DAMIAO FELICIANO;19;PARAÍBA (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02035E+11;91.060,65;14.814,29;14.700,00;76.360,65;1.075,00;75.285,65
2021;Emenda Individual - Transferências com Finalidade Definida;REGINALDO LOPES;7;MINAS GERAIS (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02114E+11;93.956,70;0;0;187.913,40;5.270,00;88.686,70
2020;Emenda Individual - Transferências com Finalidade Definida;RAUL HENRY;14;PERNAMBUCO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02025E+11;94.201,40;0;0;94.201,40;3.300,00;90.901,40
2024;Emenda Individual - Transferências com Finalidade Definida;CLEITINHO;1;SANTO ANTÔNIO DO JACINTO - MG;Educação;Educação básica;5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02443E+11;95.533,81;0;0;191.067,62;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;ALESSANDRO MOLON;9;RIO DE JANEIRO (UF);Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RI - FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA;FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA - DESPESAS DIVERSAS;2,02028E+11;96.600,00;96.600,00;96.600,00;0;0;0
2021;Emenda Individual - Transferências com Finalidade Definida;CELIO MOURA;6;TOCANTINS (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02139E+11;96.626,30;76.386,89;30.774,30;131.704,00;19.342,59;46.509,41
2020;Emenda Individual - Transferências com Finalidade Definida;DAGOBERTO NOGUEIRA;10;CAMPO GRANDE - MS;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02022E+11;96.964,84;0;0;193.929,68;0;0
2021;Emenda Individual - Transferências com Finalidade Definida;GORETE PEREIRA;15;CEARÁ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02121E+11;97.049,78;90.751,10;45.244,40;107.158,44;0;48.257,70
2022;Emenda Individual - Transferências com Finalidade Definida;JOSIVALDO JP;11;MARANHÃO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,02242E+11;97.278,00;0;0;97.278,00;0;97.278,00
2022;Emenda Individual - Transferências com Finalidade Definida;JOSE GUIMARAES;6;BREJO SANTO - CE;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02224E+11;97.614,00;0;0;97.614,00;0;97.614,00
2021;Emenda Individual - Transferências com Finalidade Definida;DAMIAO FELICIANO;12;JOÃO PESSOA - PB;Educação;Assistência hospitalar e ambulatorial;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;4086 - FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS DE ENSINO;FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS - DESPESAS DIVERSAS;2,02135E+11;97.788,65;20.854,00;20.854,00;153.869,30;0;76.934,65
2022;Emenda Individual - Transferências com Finalidade Definida;PADRE JOAO;5;MINAS GERAIS (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02228E+11;98.217,88;9.637,88;6.849,88;92.093,00;0;90.643,00
2020;Emenda Individual - Transferências com Finalidade Definida;GUIGA PEIXOTO;6;SÃO PAULO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,0204E+11;98.369,89;98.369,89;46.619,89;51.750,00;0;51.750,00
2024;Emenda de Bancada;BANCADA DO CEARA;7;CEARÁ (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02471E+11;98.417,50;0;0;137.660,00;0;59.175,00
2020;Emenda Individual - Transferências com Finalidade Definida;JORGE SOLLA;12;ELÍSIO MEDRADO - BA;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02037E+11;98.457,33;0;0;196.914,66;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;FREI ANASTACIO RIBEIRO;13;PARAÍBA (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,0224E+11;98.462,21;53.784,87;37.134,87;61.327,34;1.129,74;60.197,60
2020;Emenda Individual - Transferências com Finalidade Definida;JORGE SOLLA;9;BAHIA (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02037E+11;98.586,00;47.593,59;0;98.586,00;8.527,63;90.058,37
2022;Emenda Individual - Transferências com Finalidade Definida;MARCIO JERRY;12;SÃO RAIMUNDO DAS MANGABEIRAS - MA;Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,02239E+11;98.641,40;0;0;98.641,40;0;98.641,40
